Class Scope;Class Name;Superclass;Implemented Interfaces;Abstract Class;Interface;Static class;Method Scope;Return Type;Method Name;Method Arguments;Abstract Method;Static Method;
PUBLIC;KeyValueCodingProtectedAccessor;com.webobjects.foundation.NSKeyValueCoding$ValueAccessor;;false;false;false;PUBLIC;void;<init>;();false;false;
PUBLIC;KeyValueCodingProtectedAccessor;com.webobjects.foundation.NSKeyValueCoding$ValueAccessor;;false;false;false;PUBLIC;java.lang.Object;fieldValue;(java.lang.Object,java.lang.reflect.Field);false;false;
PUBLIC;KeyValueCodingProtectedAccessor;com.webobjects.foundation.NSKeyValueCoding$ValueAccessor;;false;false;false;PUBLIC;void;setFieldValue;(java.lang.Object,java.lang.reflect.Field,java.lang.Object);false;false;
PUBLIC;KeyValueCodingProtectedAccessor;com.webobjects.foundation.NSKeyValueCoding$ValueAccessor;;false;false;false;PUBLIC;java.lang.Object;methodValue;(java.lang.Object,java.lang.reflect.Method);false;false;
PUBLIC;KeyValueCodingProtectedAccessor;com.webobjects.foundation.NSKeyValueCoding$ValueAccessor;;false;false;false;PUBLIC;void;setMethodValue;(java.lang.Object,java.lang.reflect.Method,java.lang.Object);false;false;
PUBLIC;KeyValueCodingProtectedAccessor;com.webobjects.foundation.NSKeyValueCoding$ValueAccessor;;false;false;false;PUBLIC;java.lang.String;toString;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;projectDir;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;projectDirNotNormalized;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;languageDir;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;projectName;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;projectTypeName;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;languageName;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;addComponent;(java.lang.String,java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;pathToBucket;(java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;addFileKey;(java.lang.String,java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;openFile;(java.lang.String,int,java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;pathForFrameworkNamed;(java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;setPathForFramework;(java.lang.String,java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;extractFilesIntoWOProject;(com.webobjects._ideservices._WOProject);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;ideApplicationName;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;ideProjectPath;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;com.webobjects.foundation.NSArray;frameworkBundlePaths;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;com.webobjects.foundation.NSArray;frameworkBundlePathURLs;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;addFilenameExtensionToListOfKnowns;(java.lang.String);true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;void;refreshUnderlyingProjectCache;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.lang.String;bundlePath;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProject;java.lang.Object;;true;true;false;PUBLIC;java.net.URL;bundlePathURL;();true;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;com.webobjects._ideservices._IDEProjectPB;pbProjectAtPath;(java.lang.String);false;true;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;void;<init>;(com.webobjects._ideservices._PBProject);false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;projectDir;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;projectDirNotNormalized;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;languageDir;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;projectName;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;projectTypeName;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;languageName;();false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;com.webobjects.foundation.NSMutableArray;fileListForKey;(java.lang.String,boolean);false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;pathForFrameworkNamed;(java.lang.String);false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;void;setPathForFramework;(java.lang.String,java.lang.String);false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;void;addComponent;(java.lang.String,java.lang.String);false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;java.lang.String;pathToBucket;(java.lang.String);false;false;
PUBLIC;com.webobjects._ideservices._IDEProjectPB;java.lang.Object;[com.webobjects._ideservices._IDEProject];false;false;false;PUBLIC;void;addFileKey;(java.lang.String,java.lang.String);false;false;
